,BlueTop,BlueJungle,BlueMid,BlueADC,BlueSupport,RedTop,RedJungle,RedMid,RedADC,RedSupport,BlueWin
0,DrMundo,Amumu,Akali,MissFortune,Lux,Olaf,Sejuani,Fizz,Caitlyn,Blitzcrank,False
1,DrMundo,XinZhao,Kassadin,Caitlyn,Seraphine,Yorick,Trundle,Sylas,Ezreal,Karma,False
2,DrMundo,Vi,Kassadin,Ashe,Lux,Garen,Warwick,Akshan,Ezreal,TwistedFate,True
3,DrMundo,XinZhao,Zed,Kaisa,Heimerdinger,Sett,Udyr,Akali,Ashe,Brand,False
4,DrMundo,Amumu,Irelia,Ashe,Blitzcrank,KSante,Skarner,Zed,Nilah,Rakan,False
5,Chogath,Ekko,Renekton,Jhin,Nami,DrMundo,Amumu,Veigar,Jinx,Senna,True
6,Garen,Warwick,Ziggs,Kaisa,Senna,Illaoi,Amumu,Irelia,Tristana,Brand,False
7,Garen,XinZhao,Neeko,Vayne,Lulu,Sejuani,MasterYi,Katarina,Jhin,Lux,False
8,Garen,XinZhao,Katarina,Vayne,Lux,Volibear,Rammus,Viktor,Sivir,Twitch,False
9,DrMundo,Rammus,Veigar,Lux,Morgana,Garen,Amumu,Galio,Lucian,Senna,True
10,Garen,Amumu,Varus,Jhin,Nami,Teemo,Nocturne,Ahri,Jinx,Sona,False
11,Yorick,Mordekaiser,Zed,Twitch,Lux,Garen,Amumu,Yone,Sivir,Zyra,True
12,Sivir,XinZhao,Syndra,Tristana,Nami,Tryndamere,Amumu,Yasuo,Samira,Sona,False
13,Sivir,XinZhao,Zed,Caitlyn,Morgana,DrMundo,Amumu,Xerath,Ezreal,Lux,False
14,TahmKench,Amumu,Yone,Sivir,Xerath,Jax,Trundle,Viktor,Jhin,Lux,False
15,Renekton,Amumu,Yasuo,Sivir,Zilean,Yorick,Belveth,Vex,Jhin,Lux,False
16,Teemo,Amumu,Akali,Sivir,Senna,Shen,Lillia,Katarina,Samira,Lux,False
17,Sion,Kindred,Ahri,Senna,Jhin,Nasus,Amumu,Lux,Sivir,Heimerdinger,True
18,Teemo,Viego,Veigar,Jhin,Lux,Sivir,Warwick,Vex,Ashe,Morgana,True
19,Sivir,Amumu,Velkoz,Jhin,Morgana,Mordekaiser,Poppy,Yone,Xayah,Zyra,False
20,Shyvana,Nunu,Annie,Ezreal,Lux,MissFortune,Khazix,Yone,Lucian,Amumu,False
21,Ryze,XinZhao,Malzahar,Caitlyn,Neeko,Darius,Rammus,Ekko,MissFortune,Velkoz,True
22,Singed,Amumu,Fizz,Zeri,Yuumi,Mordekaiser,Nunu,Tristana,Twitch,Taric,False
23,Yone,Nunu,Garen,Tristana,Xerath,Yorick,Diana,Talon,Varus,Heimerdinger,False
24,Jax,Nunu,Morgana,Samira,Yuumi,Shen,Pantheon,Kennen,Ashe,Sona,True
