,0
0,"['NA1_4546697597', 'NA1_4546698776', 'NA1_4546516994', 'NA1_4546498836', 'NA1_4546460725', 'NA1_4546449152', 'NA1_4546445206', 'NA1_4546430507', 'NA1_4546430177', 'NA1_4546426939', 'NA1_4546403156', 'NA1_4546380861', 'NA1_4545664485', 'NA1_4545649604', 'NA1_4545624581', 'NA1_4545623994', 'NA1_4545622966', 'NA1_4545603619', 'NA1_4545552453', 'NA1_4545540770']"
1,"['NA1_4546433405', 'NA1_4546421539', 'NA1_4546416218', 'NA1_4546398360', 'NA1_4546383709', 'NA1_4546389312', 'NA1_4546378162', 'NA1_4546374860', 'NA1_4545439758', 'NA1_4545420232', 'NA1_4545425808', 'NA1_4545404474', 'NA1_4545403319', 'NA1_4545400870', 'NA1_4545391022', 'NA1_4545382003', 'NA1_4545361603', 'NA1_4545357884', 'NA1_4545343419', 'NA1_4545317107']"
2,"['NA1_4546359037', 'NA1_4546341960', 'NA1_4546328851', 'NA1_4546299568', 'NA1_4546282939', 'NA1_4546250341', 'NA1_4546225824', 'NA1_4546181171', 'NA1_4546122824', 'NA1_4546044581', 'NA1_4545998484', 'NA1_4545930191', 'NA1_4545880007', 'NA1_4545826719', 'NA1_4545074922', 'NA1_4545022949', 'NA1_4544985792', 'NA1_4544941348', 'NA1_4544919774', 'NA1_4544881953']"
3,"['NA1_4546696880', 'NA1_4546670310', 'NA1_4546351894', 'NA1_4546328042', 'NA1_4546315972', 'NA1_4546287879', 'NA1_4546260550', 'NA1_4546239619', 'NA1_4545962879', 'NA1_4545935001', 'NA1_4545911183', 'NA1_4545882895', 'NA1_4545845724', 'NA1_4545329103', 'NA1_4545302409', 'NA1_4545292449', 'NA1_4545277417', 'NA1_4545259221', 'NA1_4545238752', 'NA1_4545221191']"
4,"['NA1_4546395875', 'NA1_4546371003', 'NA1_4546358107', 'NA1_4546339214', 'NA1_4546322613', 'NA1_4546315972', 'NA1_4546292387', 'NA1_4546255639', 'NA1_4546236993', 'NA1_4546203542', 'NA1_4546157603', 'NA1_4546111919', 'NA1_4546064538', 'NA1_4546020811', 'NA1_4546006810', 'NA1_4545372310', 'NA1_4545367274', 'NA1_4545350658', 'NA1_4545346837', 'NA1_4545333607']"
5,"['NA1_4546553359', 'NA1_4546451518', 'NA1_4546438367', 'NA1_4546440955', 'NA1_4546424032', 'NA1_4546410310', 'NA1_4546400603', 'NA1_4546390623', 'NA1_4546386148', 'NA1_4546378849', 'NA1_4546357902', 'NA1_4546329692', 'NA1_4546313379', 'NA1_4546306807', 'NA1_4546256482', 'NA1_4545574884', 'NA1_4545549586', 'NA1_4545543888', 'NA1_4545515597', 'NA1_4545508906']"
6,"['NA1_4546707135', 'NA1_4546660495', 'NA1_4546373844', 'NA1_4546361054', 'NA1_4546355809', 'NA1_4546330507', 'NA1_4546308381', 'NA1_4546279117', 'NA1_4546244993', 'NA1_4546214895', 'NA1_4546191815', 'NA1_4546121726', 'NA1_4546093712', 'NA1_4546060357', 'NA1_4546029442', 'NA1_4545993902', 'NA1_4545938369', 'NA1_4545882423', 'NA1_4545834230', 'NA1_4545796755']"
7,"['NA1_4546109842', 'NA1_4545776917', 'NA1_4545680608', 'NA1_4545676229', 'NA1_4545649348', 'NA1_4545615721', 'NA1_4545592410', 'NA1_4545572121', 'NA1_4545561729', 'NA1_4545449693', 'NA1_4545440385', 'NA1_4545422491', 'NA1_4545409928', 'NA1_4545374130', 'NA1_4544757382', 'NA1_4544739111', 'NA1_4544700603', 'NA1_4544691820', 'NA1_4544659689', 'NA1_4544652952']"
8,"['NA1_4546434011', 'NA1_4546419162', 'NA1_4546407306', 'NA1_4546403296', 'NA1_4546392193', 'NA1_4546379622', 'NA1_4546376131', 'NA1_4546353658', 'NA1_4546058052', 'NA1_4546017794', 'NA1_4545976171', 'NA1_4545949744', 'NA1_4545898383', 'NA1_4545797985', 'NA1_4545769370', 'NA1_4545752859', 'NA1_4545731056', 'NA1_4545701052', 'NA1_4545039919', 'NA1_4545000910']"
9,"['NA1_4546658470', 'NA1_4546639937', 'NA1_4546609230', 'NA1_4546598863', 'NA1_4546578944', 'NA1_4546548641', 'NA1_4546531995', 'NA1_4546506100', 'NA1_4546482682', 'NA1_4546475636', 'NA1_4546464202', 'NA1_4546458885', 'NA1_4546438391', 'NA1_4546387614', 'NA1_4546388222', 'NA1_4546370678', 'NA1_4546372841', 'NA1_4546354928', 'NA1_4546342808', 'NA1_4546315300']"
