,0
0,NA1_4546697597
1,NA1_4546698776
2,NA1_4546516994
3,NA1_4546498836
4,NA1_4546460725
5,NA1_4546449152
6,NA1_4546445206
7,NA1_4546430507
8,NA1_4546430177
9,NA1_4546426939
10,NA1_4546403156
11,NA1_4546380861
12,NA1_4545664485
13,NA1_4545649604
14,NA1_4545624581
15,NA1_4545623994
16,NA1_4545622966
17,NA1_4545603619
18,NA1_4545552453
19,NA1_4545540770
20,NA1_4546433405
21,NA1_4546421539
22,NA1_4546416218
23,NA1_4546398360
24,NA1_4546383709
25,NA1_4546389312
26,NA1_4546378162
27,NA1_4546374860
28,NA1_4545439758
29,NA1_4545420232
30,NA1_4545425808
31,NA1_4545404474
32,NA1_4545403319
33,NA1_4545400870
34,NA1_4545391022
35,NA1_4545382003
36,NA1_4545361603
37,NA1_4545357884
38,NA1_4545343419
39,NA1_4545317107
40,NA1_4546359037
41,NA1_4546341960
42,NA1_4546328851
43,NA1_4546299568
44,NA1_4546282939
45,NA1_4546250341
46,NA1_4546225824
47,NA1_4546181171
48,NA1_4546122824
49,NA1_4546044581
50,NA1_4545998484
51,NA1_4545930191
52,NA1_4545880007
53,NA1_4545826719
54,NA1_4545074922
55,NA1_4545022949
56,NA1_4544985792
57,NA1_4544941348
58,NA1_4544919774
59,NA1_4544881953
60,NA1_4546696880
61,NA1_4546670310
62,NA1_4546351894
63,NA1_4546328042
64,NA1_4546315972
65,NA1_4546287879
66,NA1_4546260550
67,NA1_4546239619
68,NA1_4545962879
69,NA1_4545935001
70,NA1_4545911183
71,NA1_4545882895
72,NA1_4545845724
73,NA1_4545329103
74,NA1_4545302409
75,NA1_4545292449
76,NA1_4545277417
77,NA1_4545259221
78,NA1_4545238752
79,NA1_4545221191
80,NA1_4546395875
81,NA1_4546371003
82,NA1_4546358107
83,NA1_4546339214
84,NA1_4546322613
85,NA1_4546315972
86,NA1_4546292387
87,NA1_4546255639
88,NA1_4546236993
89,NA1_4546203542
90,NA1_4546157603
91,NA1_4546111919
92,NA1_4546064538
93,NA1_4546020811
94,NA1_4546006810
95,NA1_4545372310
96,NA1_4545367274
97,NA1_4545350658
98,NA1_4545346837
99,NA1_4545333607
100,NA1_4546553359
101,NA1_4546451518
102,NA1_4546438367
103,NA1_4546440955
104,NA1_4546424032
105,NA1_4546410310
106,NA1_4546400603
107,NA1_4546390623
108,NA1_4546386148
109,NA1_4546378849
110,NA1_4546357902
111,NA1_4546329692
112,NA1_4546313379
113,NA1_4546306807
114,NA1_4546256482
115,NA1_4545574884
116,NA1_4545549586
117,NA1_4545543888
118,NA1_4545515597
119,NA1_4545508906
120,NA1_4546707135
121,NA1_4546660495
122,NA1_4546373844
123,NA1_4546361054
124,NA1_4546355809
125,NA1_4546330507
126,NA1_4546308381
127,NA1_4546279117
128,NA1_4546244993
129,NA1_4546214895
130,NA1_4546191815
131,NA1_4546121726
132,NA1_4546093712
133,NA1_4546060357
134,NA1_4546029442
135,NA1_4545993902
136,NA1_4545938369
137,NA1_4545882423
138,NA1_4545834230
139,NA1_4545796755
140,NA1_4546109842
141,NA1_4545776917
142,NA1_4545680608
143,NA1_4545676229
144,NA1_4545649348
145,NA1_4545615721
146,NA1_4545592410
147,NA1_4545572121
148,NA1_4545561729
149,NA1_4545449693
150,NA1_4545440385
151,NA1_4545422491
152,NA1_4545409928
153,NA1_4545374130
154,NA1_4544757382
155,NA1_4544739111
156,NA1_4544700603
157,NA1_4544691820
158,NA1_4544659689
159,NA1_4544652952
160,NA1_4546434011
161,NA1_4546419162
162,NA1_4546407306
163,NA1_4546403296
164,NA1_4546392193
165,NA1_4546379622
166,NA1_4546376131
167,NA1_4546353658
168,NA1_4546058052
169,NA1_4546017794
170,NA1_4545976171
171,NA1_4545949744
172,NA1_4545898383
173,NA1_4545797985
174,NA1_4545769370
175,NA1_4545752859
176,NA1_4545731056
177,NA1_4545701052
178,NA1_4545039919
179,NA1_4545000910
180,NA1_4546658470
181,NA1_4546639937
182,NA1_4546609230
183,NA1_4546598863
184,NA1_4546578944
185,NA1_4546548641
186,NA1_4546531995
187,NA1_4546506100
188,NA1_4546482682
189,NA1_4546475636
190,NA1_4546464202
191,NA1_4546458885
192,NA1_4546438391
193,NA1_4546387614
194,NA1_4546388222
195,NA1_4546370678
196,NA1_4546372841
197,NA1_4546354928
198,NA1_4546342808
199,NA1_4546315300
200,NA1_4546545758
201,NA1_4546505666
202,NA1_4546205583
203,NA1_4546155333
204,NA1_4546118536
205,NA1_4546083269
206,NA1_4546040827
207,NA1_4546005446
208,NA1_4545961377
209,NA1_4545930141
210,NA1_4545878800
211,NA1_4545843247
212,NA1_4545814975
213,NA1_4545764525
214,NA1_4545737214
215,NA1_4545715134
216,NA1_4545688893
217,NA1_4545654831
218,NA1_4545629967
219,NA1_4545602816
220,NA1_4545797985
221,NA1_4545769370
222,NA1_4545752859
223,NA1_4545731056
224,NA1_4545701052
225,NA1_4545039919
226,NA1_4545000910
227,NA1_4544956257
228,NA1_4544645866
229,NA1_4544619411
230,NA1_4544613505
231,NA1_4544600514
232,NA1_4544580281
233,NA1_4544570426
234,NA1_4544553225
235,NA1_4544535605
236,NA1_4544526540
237,NA1_4544513597
238,NA1_4544506117
239,NA1_4542907533
240,NA1_4546681193
241,NA1_4546652183
242,NA1_4546636247
243,NA1_4546606668
244,NA1_4546310043
245,NA1_4546285494
246,NA1_4546261668
247,NA1_4546255012
248,NA1_4546223372
249,NA1_4546186994
250,NA1_4546152954
251,NA1_4546111336
252,NA1_4546061410
253,NA1_4546013855
254,NA1_4545962139
255,NA1_4545915717
256,NA1_4545888062
257,NA1_4545849773
258,NA1_4545807476
259,NA1_4545780911
260,NA1_4546690413
261,NA1_4546668919
262,NA1_4546643959
263,NA1_4546617639
264,NA1_4546595020
265,NA1_4546566478
266,NA1_4546553175
267,NA1_4546527216
268,NA1_4546508102
269,NA1_4546500874
270,NA1_4546486937
271,NA1_4546456720
272,NA1_4546451885
273,NA1_4546021747
274,NA1_4545970768
275,NA1_4545923782
276,NA1_4545876281
277,NA1_4545841144
278,NA1_4545821720
279,NA1_4545791539
280,NA1_4544919649
281,NA1_4544908787
282,NA1_4544873744
283,NA1_4544838634
284,NA1_4544821018
285,NA1_4544794102
286,NA1_4544756341
287,NA1_4544728853
288,NA1_4544701652
289,NA1_4544645866
290,NA1_4544619411
291,NA1_4544613505
292,NA1_4544600514
293,NA1_4544580281
294,NA1_4544570426
295,NA1_4544553225
296,NA1_4544535605
297,NA1_4544526540
298,NA1_4544513597
299,NA1_4544506117
300,NA1_4545769342
301,NA1_4545745144
302,NA1_4545712041
303,NA1_4545365386
304,NA1_4545355208
305,NA1_4545340295
306,NA1_4545318359
307,NA1_4545309171
308,NA1_4545294695
309,NA1_4545278913
310,NA1_4545257273
311,NA1_4545242592
312,NA1_4545207667
313,NA1_4545171856
314,NA1_4545123077
315,NA1_4545076638
316,NA1_4545041442
317,NA1_4544997153
318,NA1_4544950693
319,NA1_4544899561
320,NA1_4546672571
321,NA1_4546672895
322,NA1_4546640268
323,NA1_4546613451
324,NA1_4546597776
325,NA1_4546565157
326,NA1_4546502083
327,NA1_4546489880
328,NA1_4546474019
329,NA1_4546462962
330,NA1_4546439654
331,NA1_4546436428
332,NA1_4546427087
333,NA1_4546412454
334,NA1_4546404405
335,NA1_4546393412
336,NA1_4546386148
337,NA1_4546374210
338,NA1_4546359387
339,NA1_4546342327
340,NA1_4546685549
341,NA1_4546648443
342,NA1_4546627309
343,NA1_4546586489
344,NA1_4546562622
345,NA1_4546559747
346,NA1_4546524829
347,NA1_4546495621
348,NA1_4546156141
349,NA1_4546124218
350,NA1_4546096951
351,NA1_4546077475
352,NA1_4546042277
353,NA1_4545989059
354,NA1_4545922712
355,NA1_4545897053
356,NA1_4545854486
357,NA1_4545805623
358,NA1_4545759422
359,NA1_4545715979
360,NA1_4546664203
361,NA1_4546654004
362,NA1_4546630269
363,NA1_4546604089
364,NA1_4546594804
365,NA1_4546573564
366,NA1_4546549654
367,NA1_4546536607
368,NA1_4546525398
369,NA1_4546512256
370,NA1_4546500428
371,NA1_4546486638
372,NA1_4546434011
373,NA1_4546419162
374,NA1_4546407306
375,NA1_4546403296
376,NA1_4546392193
377,NA1_4546379622
378,NA1_4546376131
379,NA1_4546353658
380,NA1_4546543718
381,NA1_4546522214
382,NA1_4546507078
383,NA1_4546490434
384,NA1_4546486747
385,NA1_4546464536
386,NA1_4546460119
387,NA1_4546437887
388,NA1_4546421542
389,NA1_4546417850
390,NA1_4546395512
391,NA1_4546387682
392,NA1_4546389089
393,NA1_4546365425
394,NA1_4546359966
395,NA1_4546335388
396,NA1_4546318445
397,NA1_4546302742
398,NA1_4546269828
399,NA1_4546248007
400,NA1_4545915870
401,NA1_4545827778
402,NA1_4545787390
403,NA1_4545767062
404,NA1_4545744229
405,NA1_4545728886
406,NA1_4545685366
407,NA1_4545647768
408,NA1_4545622180
409,NA1_4545586677
410,NA1_4545580133
411,NA1_4545533654
412,NA1_4545535987
413,NA1_4545501641
414,NA1_4545496336
415,NA1_4545476444
416,NA1_4545479917
417,NA1_4545465865
418,NA1_4545443718
419,NA1_4545455005
420,NA1_4546414738
421,NA1_4546379078
422,NA1_4545705314
423,NA1_4545669636
424,NA1_4545669897
425,NA1_4545660035
426,NA1_4545642627
427,NA1_4545636587
428,NA1_4545622776
429,NA1_4545608517
430,NA1_4545593814
431,NA1_4545574616
432,NA1_4545565620
433,NA1_4545554606
434,NA1_4545552970
435,NA1_4545524581
436,NA1_4545514566
437,NA1_4545516957
438,NA1_4545505283
439,NA1_4545495512
440,NA1_4545915870
441,NA1_4545865854
442,NA1_4545850976
443,NA1_4545827778
444,NA1_4545787390
445,NA1_4545767062
446,NA1_4545744229
447,NA1_4545728886
448,NA1_4545685366
449,NA1_4545560605
450,NA1_4545550700
451,NA1_4545548867
452,NA1_4545536320
453,NA1_4545502356
454,NA1_4545497087
455,NA1_4545272288
456,NA1_4545236116
457,NA1_4545215000
458,NA1_4545080473
459,NA1_4545045191
460,NA1_4546288012
461,NA1_4546241101
462,NA1_4546143135
463,NA1_4546083618
464,NA1_4545979833
465,NA1_4545900197
466,NA1_4545808180
467,NA1_4545754709
468,NA1_4545721441
469,NA1_4545684200
470,NA1_4545673857
471,NA1_4545635444
472,NA1_4545616276
473,NA1_4545594965
474,NA1_4545571141
475,NA1_4545556359
476,NA1_4545534642
477,NA1_4545517637
478,NA1_4545500403
479,NA1_4545484882
480,NA1_4546212694
481,NA1_4546170533
482,NA1_4546103210
483,NA1_4546030081
484,NA1_4545980218
485,NA1_4545952715
486,NA1_4545894030
487,NA1_4545860952
488,NA1_4545809155
489,NA1_4545773135
490,NA1_4545760210
491,NA1_4545718240
492,NA1_4545675021
493,NA1_4545641295
494,NA1_4545609350
495,NA1_4545597815
496,NA1_4545570053
497,NA1_4545564834
498,NA1_4545542801
499,NA1_4545513211
500,NA1_4546573885
501,NA1_4546534308
502,NA1_4546518510
503,NA1_4546501885
504,NA1_4546476504
505,NA1_4546456720
506,NA1_4546439357
507,NA1_4546430994
508,NA1_4546413124
509,NA1_4546406309
510,NA1_4546392373
511,NA1_4546381255
512,NA1_4546365500
513,NA1_4546349469
514,NA1_4546327743
515,NA1_4546304226
516,NA1_4546264443
517,NA1_4546233386
518,NA1_4546168081
519,NA1_4546119312
520,NA1_4546176699
521,NA1_4546169040
522,NA1_4546104578
523,NA1_4546032574
524,NA1_4545981494
525,NA1_4545920633
526,NA1_4545904077
527,NA1_4545852003
528,NA1_4545791572
529,NA1_4545755408
530,NA1_4545722134
531,NA1_4545685362
532,NA1_4545665050
533,NA1_4545636427
534,NA1_4545591395
535,NA1_4545567239
536,NA1_4545552807
537,NA1_4545517492
538,NA1_4545496227
539,NA1_4545471054
540,NA1_4546682535
541,NA1_4546648627
542,NA1_4546631028
543,NA1_4546604671
544,NA1_4546573366
545,NA1_4545548867
546,NA1_4545536320
547,NA1_4545487734
548,NA1_4545481105
549,NA1_4545471828
550,NA1_4545461735
551,NA1_4545429565
552,NA1_4545426674
553,NA1_4545422233
554,NA1_4545404315
555,NA1_4545394171
556,NA1_4545382714
557,NA1_4545163360
558,NA1_4545156984
559,NA1_4545130313
560,NA1_4546514262
561,NA1_4546503334
562,NA1_4546494320
563,NA1_4545653785
564,NA1_4545638118
565,NA1_4545615442
566,NA1_4545615034
567,NA1_4545583546
568,NA1_4545590810
569,NA1_4545576357
570,NA1_4545557522
571,NA1_4545548359
572,NA1_4545539267
573,NA1_4545537014
574,NA1_4545516631
575,NA1_4545513991
576,NA1_4545504588
577,NA1_4545509941
578,NA1_4545494284
579,NA1_4545481213
580,NA1_4546480415
581,NA1_4546319760
582,NA1_4546304761
583,NA1_4546289740
584,NA1_4546272277
585,NA1_4546232169
586,NA1_4546225778
587,NA1_4546219996
588,NA1_4545653785
589,NA1_4545638118
590,NA1_4545615442
591,NA1_4545615034
592,NA1_4545583546
593,NA1_4545590810
594,NA1_4545576357
595,NA1_4545557522
596,NA1_4545548359
597,NA1_4545539267
598,NA1_4545537014
599,NA1_4545516631
600,NA1_4546380288
601,NA1_4546372048
602,NA1_4546362113
603,NA1_4546338812
604,NA1_4546313181
605,NA1_4546295271
606,NA1_4546288903
607,NA1_4546257399
608,NA1_4546234663
609,NA1_4546214573
610,NA1_4546197385
611,NA1_4546176464
612,NA1_4546166217
613,NA1_4546130528
614,NA1_4546092380
615,NA1_4546039383
616,NA1_4545997542
617,NA1_4545972626
618,NA1_4545725414
619,NA1_4545680591
620,NA1_4546517540
621,NA1_4546515918
622,NA1_4546504545
623,NA1_4546494171
624,NA1_4546489058
625,NA1_4546480812
626,NA1_4546295271
627,NA1_4546288903
628,NA1_4546257399
629,NA1_4546234663
630,NA1_4546214573
631,NA1_4546197385
632,NA1_4546176464
633,NA1_4546166217
634,NA1_4546130528
635,NA1_4545725414
636,NA1_4545680591
637,NA1_4545668629
638,NA1_4545646492
639,NA1_4545633539
640,NA1_4546440749
641,NA1_4546423425
642,NA1_4546409469
643,NA1_4546401724
644,NA1_4546383721
645,NA1_4546380303
646,NA1_4546372048
647,NA1_4546357268
648,NA1_4546345171
649,NA1_4546317726
650,NA1_4546294667
651,NA1_4546279849
652,NA1_4546234663
653,NA1_4546187969
654,NA1_4546138158
655,NA1_4546046361
656,NA1_4545995282
657,NA1_4545936738
658,NA1_4545874125
659,NA1_4545791201
660,NA1_4546582768
661,NA1_4546265374
662,NA1_4546226682
663,NA1_4546013880
664,NA1_4545860952
665,NA1_4545821602
666,NA1_4545403064
667,NA1_4545396960
668,NA1_4545381262
669,NA1_4545363420
670,NA1_4545348649
671,NA1_4545340203
672,NA1_4545309931
673,NA1_4545261511
674,NA1_4545236280
675,NA1_4545203128
676,NA1_4545141669
677,NA1_4545105758
678,NA1_4545049275
679,NA1_4544997589
680,NA1_4546384748
681,NA1_4546364446
682,NA1_4546352154
683,NA1_4546330657
684,NA1_4546318394
685,NA1_4546282389
686,NA1_4546260426
687,NA1_4546224610
688,NA1_4546177341
689,NA1_4546145404
690,NA1_4546114846
