,0
0,YGG5pjQjzm4_l2BqbOXIkoyKTsBBobkLlawUPPnmfemSwq93iX5Ij4jx_7_eZOMX_1du-eb40Kk4tw
1,CJL1cE-nNX9dq60P2JJmHOz38PPUvWMrhSuZgQi8f0hk-lxZEqi9_eLxDt9kgCzte8zYpIAs2HwjbA
2,qGcbQphWpSLd87rRxA6QV4WB343y4UG-CmARMi34fEVCm58O9O0DpTWXoLUu3YV-BqKcg1deDbn06w
3,Bgf8T1ScCtf5-WB7uTB6ENiiH5R5fyww5xBYSdyhgKgPAgeOIEO6lpYqMbxYOa6ceQZnuN3wEQfFkA
4,p7OYrn9c2SDqqjfPXilxRKU5EyTeq1I5MMR1mnmhoscl67jq7brVh9sii0bxuVzkpaeHbAG-WUP_Zw
5,LF7m-B7jTop_Vb3cJxkd7Dk56ZTMH8DdvlOzfcGFUWG30kBrif7kVH6N3-U94s534PnHLjwwaY5fWw
6,96WmXlEP0vRA1eBSvCvpqsDsI4CWJGtDF8_t2i6X12xb2yLqLQ48gTpKS3DtvtaLTeXQ14yZybTjPg
7,1_sFaXWxBq-YQ5AtKVf5SVbyVEUvWN7rKkZn1bIvgW8Pwtyrc5e9T7OcaqJJH8Yk_MevjgonONdDWw
8,--gWGysZsAZG2XiTs7O9GH0uF9Cz3E4aHNqTrUKf1NOMiEwhX4AENsuu6P_HeH8SLCHvXpzkCjgb2w
9,HY9lohoIMVcsCs6fiuJgG6-kqkkArsGQGs2DZAPxQfIEYk_oyf2UxyiK15kaMM1qc3LSHqk0qHSxcA
10,RGHIob1lsde9YxsJd2tbjMvBkkVk47772GZvzsZG7yaeN6eccHY7EL-LR4qP8Klp7VOErWQ3bpGKzA
11,EdYLWenRcYxHyfVSgzSNbPauEuWLYGVL5BSBIA4zP0wtKQJz3ASrqcyeF315ybLxKfQa6eyqf71WKw
12,Yj3oamz0MA4cgjEmPA7ROJAckQ7s3lVWH3m0ZmXaGKxZk34kUnfQ3CdbyNl4XPD1LYa2dQnSDcyTMw
13,pNdQtA4aHHnWnuhPDM7qNxRGTw8gqMDjhvFj_Rs4OF7Ctg2G0TQZJ45jby0tVwC3Kq8_j0QVNnhACw
14,YR7Gi_QBHCKEe9BObMsoKaEKCq5xpPNg_vzl-_eKkap8aKJR1y8I-kYHimnEcS0iaqHDZUc6O82k1A
15,LQjPeQySsZnSyJ5n7WX0eGYlasT92-iUYBck8c7saAXwqMm117Ig7PRIb9vjx_qN9nv9Su-itezWOA
16,-jT5eqIw4CnmcjjfeFeGd1Kpm4VtKscNj9Mo5M3rO_XH_4PPtrofEu6fQ_CzctzTOiWyckbIIhUhvg
17,MdNLPO__Ns0QNX3vqmpfoNLCM4quIsoyJf7ZkORQuU0cWRU3uJ5BhH0WUCISbvQ0QNNPygJLk6haAA
18,rzt9webAehxcFMgKz12r1EXw18aN96ZAwIIZUpT8vY69TC9xjGIBVFpk5HjXycvJzDfFdOvAxvlafA
19,EHZ2bS9uf2sQjAy5Dovb9AsmylCX5GEMaMZ40daGBMs1wvM3pmM5EJMcL_TkhQxFgsEnK1Z-gn6xBQ
20,oE8XCmv5FNsI_GSAvsXMKzpNMrow6i7_IoFK2L5_mrklHzxd-G3-qdSb8zloWUVLgdnifh8NEBst8w
21,YY76fjCIzcGE7aXCKmKcSlmhBSRaFK-OR7AS0h9Dm-rIBkCW5QNinQqJ-pYc6ZERe2q6qUDUgmQoLw
22,7hk5ZubfS7ivX-yrnyjnhWWMb_prGebLXYSV2BHWQFAHryBsrG8L5Ryqq9rRycrSt4dUdaz99kxJww
23,X9QMw99qJOirAljlZ_j5hQlFzkzOjn2pTrLQT4MJ2uc4eaoJ5ALVLqM5SXWkHJkcNmBVlRm3a3woGg
24,aB2Cmha3ZjWB-oVwHBGLS0KqoGbQJrBWvVgIBA1l46Kg6ivlhkvCjlAeLzYtVSWZniQXb56508wloQ
25,XUbVmBN5_iUGogG6HEebOzaFkj-DHhdDHjqo5_t33lC484VVvP2lzP83-2iqqzOtqP9E6SGehrW6QQ
26,oMY1tzRc1GvXce1dS3ZuHLoPfGy_SF124dR1XL4FogmbmdZ_JwAjPqkHb_SjyTT_4wnYc8fLqrnxlQ
27,09FmQiTXwj1rYR-pLXCKfNg2j6dqvEIrqvPrEoyaHghjU2UlcbiQY7_fzvOWfIvRPQ6wHXZXlGMM2w
28,AXZBcbE7O4fp9qrVRhnFFxWnCgygeD5HqzE8aCzOYbv8UWCup182DhsbjdUMtXHUmMAreH_hDU-w9w
29,viAFuwBt-RrW2BYYgsNvfKCafAkK6-YjPtCEKgB3ABgchSh8O8mM5zzQi6MRD3nGzipMVC3Ld3bjLg
30,2ctfB7k6tqRroObU7-4jWBpSR5v_Kz3KMtHnZtnJqCWAfAz_jF5XmQHlfGYE0R-MGpApj6Tu50DAPQ
31,voSIyiA31kTTJGE3t3WPbvCEYMyVDYMoIKPp00N4ePimtqc192exLb1f2mtEo7E40fPfKMDtgASoaw
32,RDDrdAzgiQKg1GuOVm_MvlsAlmf2OPowWWXNfNk2xcvz15eEVmFgwVdJYOUNy8SgI1yj4rwFJOXvSw
33,QGk3_OiYxT55RaQxGDvTLqbsjA1-QyEBW_W6qQ04V2B4In8d3MTLupSV3ttaBWyLSdNFnmu3rfgQsw
34,iLc2zqRILLmOLrBJPxZKzfRGGxztCT1LM5lVFjGOL7vOQLMYj-YP-RxVvxUcy4WNafQA5tYWnwQudA
35,7xS6Pysvnijm07VVrrTM2IKA0v1vjJyzuC9Jr4fNnpwJknZYppBZeA46xRdM7nxMPvjozuZKOhftrQ
36,E_RA71ftGNjBAeQWpYmOVtb0-0q7bTloa2mOXITxLd3sPUjPDO6wGJ0WTHNYLGGPZ4kb7cPcdto_1Q
37,Sa6Hm1jzO2kVDeCEJOJzB6yLwoceL-OYafnpAMenyau47jgCVr_YYNdmarKWCNQRiM4C2lP87RTBEQ
38,uikPRwf2vuxhH7xajAqRjmQgPv1_3pfnjMIEDWKv6Fo4EPiCeThkgqKlKmT0QUO8drx4HRsqE6Z7Qw
39,8t84JR0bg2WDneeMsybmtcUP_1jS4dDGkOjziVGOCyt9nYOh1_BIOJgkaDfxS-GdBy7mqiWyTPxn0A
40,CPwa6qP86GeiAwpKKm67-j1iieSEECxtIp46dZ8iz9wy-Iaf2GfkHn2yoiZIAOajZzjb5hAS-8bV5Q
41,TpB5Rtwm5Y32s-fomhlslC9DDfjBJIzEkXCApV0tOrzAHZ4_hg5DTIkC2TzK-dm6BjMsM6556Fzc6g
42,NKKR8gVzfrDgwUfE7I72ZQluDW90VstbMA3_UyBet91eBYyV3wy9JDd-6KLl5msBkKOZNnQLlHzAOg
43,VmgIBTqHeDop_aZeVrR3jILhSh4q-6b0QFpYe62PkhYcMVt6xMv6Gor-5NtItSUe-8LSfb1x_ODNBw
44,83U8gp30XTMZIPPMi661kpdR6fxGy-5mTc3AdLmVkc7eo2XaWL-e0hqpaC0C3_XsoDsEV19tZedDfw
45,GuyUGOAe2np3C8iVLZ5-Sf09tszQqy6Fep1lAr5lHlFNWkBGP22DgkWT6ZRgxt4sH5C5vPWSVX036Q
46,J3y_qSCNBEch4jTT7r9HR16264_T89ritMhR1VPEk0PxBv6XviDGq1t3mPMEuzq5hZISh94SKUpe-A
47,9qEjjAmAU2jQohbdgX6Ez5bg_a7ufhRzgIzcgj0VSzYIWmjQWNue0YxKBh6jwl17SSi22NR_HJvfqA
48,c18PKmph7ZhDXQ7fwst9XG81lxe0xbypBnig9VPIgmKbrcm4Vy6VIw2dImtWFgCzAzQGqQz-mZyJXw
49,is2YYCN1sOL2hJzj0amj0kAYJ9lve_ET2lLsiK0cUEvBJ_VzJhhH_rWKax-szsh_UgnOE5KEW0qxWw
50,AeI5mOBWnsf3tr9YTB4D5tA56v-9MNXIaD1UgTbPhiXxjV5N_V9uBdNJJwM4YOQ2EYiCcwsSd24sfQ
51,vrziAF89BP0TriBJJwiZhMempO42sQZxA2igiqxJxigkXH02oh5CqbVj7Nc48znbyF2FisfNtIh0qA
52,gZPtuuwrObsOSQ5EfsmGksrnLxDA_EcwALyQTMV_l4mbMeduUdweLuf7SEX9Nj0SdPp4QDSKUlJzQA
53,bgid_GvUz9BBoQtcn1vVGUYUM6au3FjpL55X1l4CQT1wVxj6zo3Ax021IYDVRRcIhw1_Q0z-LCbs3w
54,ZMSI5kvdGa-ocgNJI3eHJ4QInMuCjnn-r7vguaUZAxRmhsXG7BZs-yIX80zDmYzzush4rjG7I5FCbQ
55,O4jHqPh-GO33cf1xoxmem-3M08D4cEeNdqKYG94lh5EqiGvG6fNsziTQ7bY9eugortzfUklWR3D1rQ
56,cU66-BjS7ytH1M-Vj-Eq1NTJrljwv-wJfLGL-Vbt6nwATSjuoBJMTzPJ_Pb3Vumjcd4afAMuwSlazw
57,aUbPJ9uSaejhy9pZejM7ezVZBUGP6u1TQEL7AmN5Qe27fzkn20wnTScnxv_Ws4-WnAI_X_Cp516aUQ
58,_3sM0gJ-2TKMMOfe1HEu1S6gt9nOssafCHqAFc2pQ9yun4D0PfgEaa9PgT1XxVu_k48K8lQVWtPcGw
59,cJu1IixLuF2DrCwPdRgh2s6RgHizyNCoFLfDNnbozzYykfFSCERs4Z0Z0xl-zbrO_UMEfuLcGRPOfQ
60,J0dRNNLiB21yE1AmktADIPaA_dSRGE5j3hr-Xc3pLuw5OZJzG-mNgxQe1FLy99LmIDaQNEAm6iGSqQ
61,QzMR6h_HSd25e-oyTHy_YMFCPQ-zcJv2yhRaoxCY3yOpbNAVwjafRJmFuBqfL8Jdm8Id3-MUHVcE3A
62,ydOG9BX5u4JfF2t2W_WAwU3-1W180TVYLAX-WtBhorCbkz0iTOlS3kqUa5JEc_8nZRuTlwGT9k6bcA
63,tDLdp47q1TQtRjNCLQBQVx5teAR2S5G6d65Ih6WLmpo-nvbA2U4b1VDIUt5Dc0Iq2TnoMsR_iN2trA
64,65-A7WCUXqdcinW7p4RNXqev_uHE-xAGv9DD9_AimJ7uXZm6EIKq8aQIBGjVrlEj8v0e3Nor3pMdTA
65,NFfSXaIfFT3yBpyA8e_Q6TfA-KrvQ78QkRy2NObSTQyg8YMfidnPrHtJQnWBsa-rpuMnfm95Fp_j8g
